ADLOADINGTIME	ACCOUNTID	CAMPAIGNID	CREATIVEID	PLACEMENTID	TIMESTAMP	PLATFORM	PLATFORMVERSION	EXTERNALADSERVER	EXTERNALCREATIVEID	EXTERNALPLACEMENTID	EXTERNALSITEID	EXTERNALSUPPLIERID	INTENDEDDEVICETYPE	ACTUALDEVICETYPE	SDK	HOSTWINDOWHEIGHT	HOSTWINDOWWIDTH	TOPMOSTREACHABLEWINDOWHEIGHT	TOPMOSTREACHABLEWINDOWWIDTH	DEVICEORIENTATION	NETWORKTYPE	CDNNAME	CREATIVETYPE	GEOIP_LNG	GEOIP_LAT	GEOIP_TIMEZONE	GEOIP_COUNTRY	GEOIP_REGION	GEOIP_CITY	GEOIP_AREACODE	GEOIP_METROCODE	GEOIP_DMACODE	UA_HARDWARETYPE	UA_DEVICETYPE	UA_MOBILEDEVICE	UA_PLATFORM	UA_PLATFORMVERSION	UA_VENDOR	UA_MODEL	UA_OS	UA_OSVERSION	UA_BROWSER	UA_BROWSERVERSION	UA_BROWSERRENDERINGENGINE	FILESJSON	ERRORSJSON
23.379	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517293	Android	4.3	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	615	360	615	360	0	null	a	ExpandableBanner	-95.2832	29.65049	America/Chicago	United States	Texas	Houston	713	618	618	Mobile Phone	Phone	1	Android	4.3	T-Mobile	SGH-T999L	Android	4.3	Android Browser	4.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
6.814	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517280	IOS	9.3	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	441	320	441	320	0	null	b	ExpandableBanner	-96.7366	32.9143	America/Chicago	United States	Texas	Dallas	214	623	623	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	9.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.427	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517302	Android	5.1.1	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	615	360	615	360	0	null	a	ExpandableBanner	-81.6188	30.2406	America/New_York	United States	Florida	Jacksonville	904	561	561	Mobile Phone	Phone	1	Android	5.1.1	null	Generic Android Mobile	Android	5.1.1	Firefox	45.0	Gecko	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.457	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517340	Android	6.0	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	574	360	574	360	0	null	b	ExpandableBanner	-88.031	44.39059	America/Chicago	United States	Wisconsin	De Pere	920	658	658	Mobile Phone	Phone	1	Android	6.0	Sprint	LS991	Android	6.0	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
0.896	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517691	IOS	8.4	149d62d213b2dfec327ac2dc3391d0d5	null	85246d481ee28b228277032817a34b10	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	460	320	460	320	0	null	c	ExpandableBanner	-74.822	40.86689	America/New_York	United States	New Jersey	Hackettstown	908	501	501	Mobile Phone	Phone	1	IOS	8.4	Apple	iPhone	IOS	8.4	Safari	8.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
0.612	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459517941	IOS	9.3	149d62d213b2dfec327ac2dc3391d0d5	null	85246d481ee28b228277032817a34b10	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	736	414	736	414	0	null	b	ExpandableBanner	-93.5275	44.9752	America/Chicago	United States	Minnesota	Wayzata	952	613	613	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.497	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459514902	IOS	9.3	149d62d213b2dfec327ac2dc3391d0d5	null	ac90427a4ed889666a179e3a669334c1	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	628	375	628	375	0	null	b	ExpandableBanner	-86.1594	30.3544	America/New_York	United States	Florida	Santa Rosa Beach	850	656	656	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	9.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
3.256	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518222	IOS	9.1	149d62d213b2dfec327ac2dc3391d0d5	null	85246d481ee28b228277032817a34b10	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	460	320	460	320	0	null	b	ExpandableBanner	-93.2582	45.0946	America/Chicago	United States	Minnesota	Minneapolis	763	613	613	Mobile Phone	Phone	1	IOS	9.1	Apple	iPhone	IOS	9.1	Safari	9.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
0.852	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518259	IOS	9.3	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	628	375	628	375	0	null	c	ExpandableBanner	-82.18241	41.4528	America/New_York	United States	Ohio	Lorain	440	510	510	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	9.0	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
3.71	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518192	Android	6.0.1	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	616	360	616	360	0	null	b	ExpandableBanner	-97.0519	32.84199	America/Chicago	United States	Texas	Fort Worth	817	623	623	Mobile Phone	Phone	1	Android	6.0.1	Sprint	SM-N910P	Android	6.0.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.655	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518317	Android	5.1.1	149d62d213b2dfec327ac2dc3391d0d5	null	85246d481ee28b228277032817a34b10	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	615	360	615	360	0	null	a	ExpandableBanner	-118.3386	34.13	America/Los_Angeles	United States	California	Los Angeles	323	803	803	Mobile Phone	Phone	1	Android	5.1.1	Samsung	SM-G920A	Android	5.1.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
2.343	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518341	Android	5.1.1	149d62d213b2dfec327ac2dc3391d0d5	null	85246d481ee28b228277032817a34b10	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	707	412	707	412	0	null	c	ExpandableBanner	-118.0086	33.6746	America/Los_Angeles	United States	California	Huntington Beach	714	803	803	Mobile Phone	Phone	1	Android	5.1.1	Samsung	SM-G928V	Android	5.1.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.378	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518419	Android	6.0	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	574	360	574	360	0	null	c	ExpandableBanner	-74.2639	40.74899	America/New_York	United States	New Jersey	South Orange	973	501	501	Mobile Phone	Phone	1	Android	6.0	LG	VS986	Android	6.0	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.995	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518577	Android	5.0	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	615	360	615	360	0	null	b	ExpandableBanner	-80.9972	33.98599	America/New_York	United States	South Carolina	Columbia	803	546	546	Mobile Phone	Phone	1	Android	5.0	Verizon	SM-G900V	Android	5.0	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
1.381	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518689	IOS	9.2.1	149d62d213b2dfec327ac2dc3391d0d5	null	5229c4d7a80931db95c7cc717f6d03b1	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	625	375	625	375	0	null	b	ExpandableBanner	-97	38	null	United States	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	[]
26.174	75552b6682f38994379b44da9e6667ce	4e1d2d50e8e34aa3f7cc632491017c1f	d56930a7a2cf93fc9991ec637284acdf	a6d6d6221d8bdf06d22d0a8970ac1f41	1459518909	Android	4.0.3	149d62d213b2dfec327ac2dc3391d0d5	null	81d39ebc45daa4220b1d5cfa81ce376c	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Tablet	MobileWeb	669	534	669	534	0	null	c	ExpandableBanner	-122.6006	45.5377	America/Los_Angeles	United States	Oregon	Portland	503	820	820	Tablet	Tablet	1	Android	4.0.3	Amazon	Kindle Fire HD	Android	4.0.3	Amazon Silk	49.2.1	WebKit	[{"type":"image","size":19438},{"type":"image","size":7083},{"type":"image","size":7393},{"type":"image","size":1704},{"type":"image","size":9051},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":69298},{"type":"image","size":65716},{"type":"image","size":69298},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":7083},{"type":"image","size":10116},{"type":"image","size":4035},{"type":"image","size":6382},{"type":"image","size":4252}]	["218bf447841fa2da25dde7408e518979"]
14.971	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459515735	Android	6.0.1	149d62d213b2dfec327ac2dc3391d0d5	null	d8b8bb1e9cf6f61b8ee38daaa60828b3	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	616	360	616	360	0	null	a	ExpandableBanner	-82.5581	35.58999	America/New_York	United States	North Carolina	Asheville	828	567	567	Mobile Phone	Phone	1	Android	6.0.1	OnePlus	A0001	Android	6.0.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
4.98	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516096	Android	5.0	149d62d213b2dfec327ac2dc3391d0d5	null	66143af4b7a0f88fe2a082356d88a60b	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	640	360	640	360	0	null	c	ExpandableBanner	-97	38	null	United States	null	null	null	null	null	Mobile Phone	Phone	1	Android	5.0	Samsung	SM-N900T	Android	5.0	Samsung Browser	2.1	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
1.67	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516105	IOS	9.2.1	149d62d213b2dfec327ac2dc3391d0d5	null	66143af4b7a0f88fe2a082356d88a60b	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	737	414	737	414	0	null	b	ExpandableBanner	-82.3265	27.8661	America/New_York	United States	Florida	Riverview	813	539	539	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
5.648	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516333	Android	5.1	149d62d213b2dfec327ac2dc3391d0d5	null	45b4bcadf548ab1ba00cf4849e53ffd7	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	559	360	559	360	0	null	c	ExpandableBanner	-77.5019	34.7595	America/New_York	United States	North Carolina	Jacksonville	910	545	545	Mobile Phone	Phone	1	Android	5.1	Motorola	XT1254	Android	5.1	Chrome Mobile	48.0.2564.95	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
2.346	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516437	Android	5.1.1	149d62d213b2dfec327ac2dc3391d0d5	null	66143af4b7a0f88fe2a082356d88a60b	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	615	360	615	360	0	null	b	ExpandableBanner	-97	38	null	United States	null	null	null	null	null	Mobile Phone	Phone	1	Android	5.1.1	AT&T	SM-N910A	Android	5.1.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
1.278	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516803	IOS	9.2.1	149d62d213b2dfec327ac2dc3391d0d5	null	66143af4b7a0f88fe2a082356d88a60b	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	603	375	603	375	0	null	b	ExpandableBanner	-97	38	null	United States	null	null	null	null	null	Mobile Phone	Phone	1	IOS	9.2.1	Apple	iPhone	IOS	9.2.1	Safari	null	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	[]
1.255	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459516806	Android	5.1.1	149d62d213b2dfec327ac2dc3391d0d5	null	33c2fdfdeb99550e209183da835fdc9d	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	559	360	559	360	0	null	b	ExpandableBanner	-74.4637	40.5516	America/New_York	United States	New Jersey	Piscataway	732	501	501	Mobile Phone	Phone	1	Android	5.1.1	Verizon	SM-G925V	Android	5.1.1	Chrome Mobile	49.0.2623.105	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	["218bf447841fa2da25dde7408e518979"]
0.79	75552b6682f38994379b44da9e6667ce	301d3c9570ae9ad3fe469fcbccd71951	f64b61b37743695684384eb5154d2e15	4fac76a950cd96059c68ecf7b34ff027	1459517673	IOS	9.3	149d62d213b2dfec327ac2dc3391d0d5	null	33c2fdfdeb99550e209183da835fdc9d	e8dfd4d5a2d3f6641f6d61eac1c321cf	null	Phone	Phone	MobileWeb	460	320	460	320	0	null	b	ExpandableBanner	-80.9972	33.98599	America/New_York	United States	South Carolina	Columbia	803	546	546	Mobile Phone	Phone	1	IOS	9.3	Apple	iPhone	IOS	9.3	Safari	null	WebKit	[{"type":"image","size":19271},{"type":"image","size":2743},{"type":"image","size":3038},{"type":"image","size":4078},{"type":"image","size":2059},{"type":"image","size":153088}]	["218bf447841fa2da25dde7408e518979"]
